Date,URL_Identifier,Card_ID,Card_Name,Price,Image_URL
2026-07-15,st01,ST01-001,ガンダム(ST01収録),500,https://card.yuyu-tei.jp/gcg/front/st01/10001.jpg
2026-07-15,st01,ST01-001,ガンダム(パラレル)(ST01収録),3980,https://card.yuyu-tei.jp/gcg/front/st01/10002.jpg
2026-07-15,st01,ST01-002,ガンダム（MA形態）(ST01収録),30,https://card.yuyu-tei.jp/gcg/front/st01/10003.jpg
2026-07-15,st01,ST01-002,ガンダム（MA形態）(パラレル)(ST01収録),220,https://card.yuyu-tei.jp/gcg/front/st01/10004.jpg
2026-07-15,st01,ST01-003,ガンキャノン,30,https://card.yuyu-tei.jp/gcg/front/st01/10005.jpg
2026-07-15,st01,ST01-003,ガンキャノン(パラレル),220,https://card.yuyu-tei.jp/gcg/front/st01/10006.jpg
2026-07-15,st01,ST01-004,ガンタンク,30,https://card.yuyu-tei.jp/gcg/front/st01/10007.jpg
2026-07-15,st01,ST01-004,ガンタンク(パラレル),220,https://card.yuyu-tei.jp/gcg/front/st01/10008.jpg
2026-07-15,st01,ST01-005,ジム(ST01収録),80,https://card.yuyu-tei.jp/gcg/front/st01/10009.jpg
2026-07-15,st01,ST01-005,ジム(パラレル)(ST01収録),680,https://card.yuyu-tei.jp/gcg/front/st01/10010.jpg
2026-07-15,st01,ST01-006,ガンダム・エアリアル（パーメットスコア・シックス）,80,https://card.yuyu-tei.jp/gcg/front/st01/10011.jpg
2026-07-15,st01,ST01-006,ガンダム・エアリアル（パーメットスコア・シックス）(パラレル),680,https://card.yuyu-tei.jp/gcg/front/st01/10012.jpg
2026-07-15,st01,ST01-007,ガンダム・エアリアル（ビットオンフォーム）(ST01収録),30,https://card.yuyu-tei.jp/gcg/front/st01/10013.jpg
2026-07-15,st01,ST01-007,ガンダム・エアリアル（ビットオンフォーム）(パラレル)(ST01収録),220,https://card.yuyu-tei.jp/gcg/front/st01/10014.jpg
2026-07-15,st01,ST01-008,デミトレーナー(ST01収録),30,https://card.yuyu-tei.jp/gcg/front/st01/10015.jpg
2026-07-15,st01,ST01-008,デミトレーナー(パラレル)(ST01収録),220,https://card.yuyu-tei.jp/gcg/front/st01/10016.jpg
2026-07-15,st01,ST01-009,ザウォート,120,https://card.yuyu-tei.jp/gcg/front/st01/10017.jpg
2026-07-15,st01,ST01-009,ザウォート(パラレル),980,https://card.yuyu-tei.jp/gcg/front/st01/10018.jpg
2026-07-15,st01,ST01-010,アムロ・レイ(ST01収録),80,https://card.yuyu-tei.jp/gcg/front/st01/10019.jpg
2026-07-15,st01,ST01-010,アムロ・レイ(パラレル)(ST01収録),2480,https://card.yuyu-tei.jp/gcg/front/st01/10020.jpg
2026-07-15,st01,ST01-011,スレッタ・マーキュリー(ST01収録),50,https://card.yuyu-tei.jp/gcg/front/st01/10021.jpg
2026-07-15,st01,ST01-011,スレッタ・マーキュリー(パラレル)(ST01収録),780,https://card.yuyu-tei.jp/gcg/front/st01/10022.jpg
2026-07-15,st01,ST01-012,満身創痍(ST01収録),30,https://card.yuyu-tei.jp/gcg/front/st01/10023.jpg
2026-07-15,st01,ST01-012,満身創痍(パラレル)(ST01収録),220,https://card.yuyu-tei.jp/gcg/front/st01/10024.jpg
2026-07-15,st01,ST01-013,カイの決意(ST01収録),30,https://card.yuyu-tei.jp/gcg/front/st01/10025.jpg
2026-07-15,st01,ST01-013,カイの決意(パラレル)(ST01収録),220,https://card.yuyu-tei.jp/gcg/front/st01/10026.jpg
2026-07-15,st01,ST01-014,予期せぬ出来事(ST01収録),80,https://card.yuyu-tei.jp/gcg/front/st01/10027.jpg
2026-07-15,st01,ST01-014,予期せぬ出来事(パラレル)(ST01収録),1480,https://card.yuyu-tei.jp/gcg/front/st01/10028.jpg
2026-07-15,st01,ST01-015,ホワイトベース(ST01収録),50,https://card.yuyu-tei.jp/gcg/front/st01/10029.jpg
2026-07-15,st01,ST01-015,ホワイトベース(パラレル)(ST01収録),320,https://card.yuyu-tei.jp/gcg/front/st01/10030.jpg
2026-07-15,st01,ST01-016,アスティカシア高等専門学園地球寮(ST01収録),30,https://card.yuyu-tei.jp/gcg/front/st01/10031.jpg
2026-07-15,st01,ST01-016,アスティカシア高等専門学園地球寮(パラレル)(ST01収録),220,https://card.yuyu-tei.jp/gcg/front/st01/10032.jpg
2026-07-15,st10,ST10-001,Zガンダム（EX）,120,https://card.yuyu-tei.jp/gcg/front/st10/10001.jpg
2026-07-15,st10,ST10-001,Zガンダム（EX）(パラレル),2980,https://card.yuyu-tei.jp/gcg/front/st10/10002.jpg
2026-07-15,st10,ST10-002,Zガンダム,30,https://card.yuyu-tei.jp/gcg/front/st10/10003.jpg
2026-07-15,st10,ST10-002,Zガンダム(パラレル),580,https://card.yuyu-tei.jp/gcg/front/st10/10004.jpg
2026-07-15,st10,ST10-003,ガンダムMk-II（エゥーゴ仕様）,30,https://card.yuyu-tei.jp/gcg/front/st10/10005.jpg
2026-07-15,st10,ST10-003,ガンダムMk-II（エゥーゴ仕様）(パラレル),320,https://card.yuyu-tei.jp/gcg/front/st10/10006.jpg
2026-07-15,st10,ST10-004,スーパーガンダム,30,https://card.yuyu-tei.jp/gcg/front/st10/10007.jpg
2026-07-15,st10,ST10-004,スーパーガンダム(パラレル),320,https://card.yuyu-tei.jp/gcg/front/st10/10008.jpg
2026-07-15,st10,ST10-005,ネモ,30,https://card.yuyu-tei.jp/gcg/front/st10/10009.jpg
2026-07-15,st10,ST10-005,ネモ(パラレル),980,https://card.yuyu-tei.jp/gcg/front/st10/10010.jpg
2026-07-15,st10,ST10-006,フェニックスガンダム（能力解放）（EX）,120,https://card.yuyu-tei.jp/gcg/front/st10/10011.jpg
2026-07-15,st10,ST10-006,フェニックスガンダム（能力解放）（EX）(パラレル),2480,https://card.yuyu-tei.jp/gcg/front/st10/10012.jpg
2026-07-15,st10,ST10-007,ガンダム・バルバトス（第4形態）,30,https://card.yuyu-tei.jp/gcg/front/st10/10013.jpg
2026-07-15,st10,ST10-007,ガンダム・バルバトス（第4形態）(パラレル),500,https://card.yuyu-tei.jp/gcg/front/st10/10014.jpg
2026-07-15,st10,ST10-008,ガンダム・バルバトス（第1形態）,30,https://card.yuyu-tei.jp/gcg/front/st10/10015.jpg
2026-07-15,st10,ST10-008,ガンダム・バルバトス（第1形態）(パラレル),320,https://card.yuyu-tei.jp/gcg/front/st10/10016.jpg
2026-07-15,st10,ST10-009,グレイズ（決闘仕様）,30,https://card.yuyu-tei.jp/gcg/front/st10/10017.jpg
2026-07-15,st10,ST10-009,グレイズ（決闘仕様）(パラレル),320,https://card.yuyu-tei.jp/gcg/front/st10/10018.jpg
2026-07-15,st10,ST10-010,鉄華団モビルワーカー,30,https://card.yuyu-tei.jp/gcg/front/st10/10019.jpg
2026-07-15,st10,ST10-010,鉄華団モビルワーカー(パラレル),320,https://card.yuyu-tei.jp/gcg/front/st10/10020.jpg
2026-07-15,st10,ST10-011,カミーユ・ビダン,30,https://card.yuyu-tei.jp/gcg/front/st10/10021.jpg
2026-07-15,st10,ST10-011,カミーユ・ビダン(パラレル),980,https://card.yuyu-tei.jp/gcg/front/st10/10022.jpg
2026-07-15,st10,ST10-012,マーク・ギルダー,30,https://card.yuyu-tei.jp/gcg/front/st10/10023.jpg
2026-07-15,st10,ST10-012,マーク・ギルダー(パラレル),980,https://card.yuyu-tei.jp/gcg/front/st10/10024.jpg
2026-07-15,st10,ST10-013,戦術訓練,50,https://card.yuyu-tei.jp/gcg/front/st10/10025.jpg
2026-07-15,st10,ST10-013,戦術訓練(パラレル),220,https://card.yuyu-tei.jp/gcg/front/st10/10026.jpg
2026-07-15,st10,ST10-014,開発経路図の解放,120,https://card.yuyu-tei.jp/gcg/front/st10/10027.jpg
2026-07-15,st10,ST10-014,開発経路図の解放(パラレル),780,https://card.yuyu-tei.jp/gcg/front/st10/10028.jpg
2026-07-15,st10,ST10-015,拡散ビーム砲,80,https://card.yuyu-tei.jp/gcg/front/st10/10029.jpg
2026-07-15,st10,ST10-015,拡散ビーム砲(パラレル),320,https://card.yuyu-tei.jp/gcg/front/st10/10030.jpg
